file,class,x,y,w,h,px1,py1,px2,py2
20230609a102.txt,0.0,0.15599,0.940278,0.041146,0.119444,0.160417,0.888889,0.152604,0.990741
20230609a102.txt,0.0,0.28151,0.944907,0.029687,0.049074,0.291146,0.927778,0.270313,0.962963
20230609a102.txt,0.0,0.390104,0.850463,0.030208,0.065741,0.400521,0.824074,0.380208,0.875926
20230609a102.txt,0.0,0.297917,0.315741,0.038542,0.038889,0.28125,0.318519,0.311458,0.314815
20230609a108.txt,0.0,0.276823,0.311111,0.036979,0.038889,0.260417,0.314815,0.291667,0.310185
20230609a108.txt,0.0,0.536198,0.914815,0.026562,0.068519,0.54375,0.891667,0.526042,0.942593
20230609a108.txt,0.0,0.514323,0.708796,0.026562,0.073148,0.520833,0.67963,0.506771,0.740741
20230609a108.txt,0.0,0.398438,0.753704,0.035417,0.068519,0.410938,0.728704,0.384375,0.781481
20230609a114.txt,0.0,0.383073,0.526389,0.022396,0.065741,0.381771,0.5,0.382292,0.552778
20230609a114.txt,0.0,0.735677,0.955556,0.030729,0.051852,0.746354,0.936111,0.724479,0.975
20230609a114.txt,0.0,0.563021,0.766204,0.021875,0.067593,0.566146,0.739815,0.557292,0.794444
20230609a114.txt,0.0,0.247396,0.313426,0.039583,0.037963,0.230729,0.318519,0.263021,0.312963
20230609a120.txt,0.0,0.235417,0.327778,0.026042,0.051852,0.228125,0.348148,0.24375,0.312037
20230609a120.txt,0.0,0.854427,0.672222,0.020313,0.077778,0.855208,0.640741,0.851042,0.70463
20230609a120.txt,0.0,0.64375,0.791204,0.030208,0.037963,0.654687,0.777778,0.63125,0.806481
20230609a120.txt,0.0,0.385677,0.717593,0.025521,0.068519,0.391146,0.689815,0.377604,0.747222
20230609a120.txt,0.0,0.451823,0.572685,0.022396,0.075,0.45,0.540741,0.453125,0.60463
20230609a120.txt,0.0,0.43776,0.440741,0.020313,0.064815,0.440625,0.413889,0.433333,0.468519
20230609a126.txt,0.0,0.121354,0.974074,0.038542,0.051852,0.133854,0.956481,0.113021,0.998148
20230609a126.txt,0.0,0.216667,0.585648,0.023958,0.071296,0.220312,0.556481,0.211979,0.616667
20230609a126.txt,0.0,0.216667,0.373148,0.036458,0.035185,0.201042,0.367593,0.232292,0.375
20230609a126.txt,0.0,0.535156,0.440278,0.025521,0.056481,0.542708,0.417593,0.525521,0.462963
20230609a126.txt,0.0,0.748437,0.55463,0.034375,0.064815,0.736979,0.52963,0.760417,0.580556
20230609a126.txt,0.0,0.761458,0.691667,0.017708,0.057407,0.758854,0.667593,0.764062,0.715741
20230609a126.txt,0.0,0.430729,0.634722,0.035417,0.049074,0.438542,0.615741,0.416146,0.651852
20230609a132.txt,0.0,0.414844,0.9875,0.019271,0.025,0.41875,0.977778,0.4125,0.998148
20230609a132.txt,0.0,0.504427,0.784722,0.031771,0.062037,0.49375,0.760185,0.515625,0.809259
20230609a132.txt,0.0,0.458854,0.649537,0.028125,0.060185,0.468229,0.624074,0.448437,0.675
20230609a132.txt,0.0,0.566146,0.470833,0.027083,0.050926,0.556771,0.45,0.576042,0.491667
20230609a132.txt,0.0,0.168229,0.396759,0.019792,0.069444,0.166667,0.366667,0.169792,0.425926
20230609a132.txt,0.0,0.206771,0.374074,0.036458,0.033333,0.190104,0.364815,0.222396,0.37037
20230609a138.txt,0.0,0.642448,0.759722,0.022396,0.058333,0.636458,0.736111,0.648958,0.784259
20230609a138.txt,0.0,0.482552,0.856481,0.016146,0.057407,0.482292,0.831481,0.482292,0.881481
20230609a138.txt,0.0,0.331771,0.813889,0.020833,0.062963,0.335417,0.786111,0.325,0.840741
20230609a138.txt,0.0,0.473438,0.456481,0.020833,0.061111,0.473438,0.42963,0.471875,0.481481
20230609a138.txt,0.0,0.442448,0.467593,0.019271,0.059259,0.443229,0.440741,0.439063,0.492593
20230609a138.txt,0.0,0.205729,0.420833,0.033333,0.062037,0.217708,0.398148,0.191146,0.446296
20230609a138.txt,0.0,0.201042,0.371759,0.034375,0.030556,0.185417,0.364815,0.214583,0.371296
20230609a144.txt,0.0,0.186458,0.368981,0.034375,0.028704,0.171354,0.363889,0.201042,0.366667
20230609a144.txt,0.0,0.307292,0.467593,0.026042,0.059259,0.315104,0.443519,0.299479,0.492593
20230609a144.txt,0.0,0.383073,0.441204,0.022396,0.060185,0.385417,0.417593,0.379688,0.467593
20230609a144.txt,0.0,0.476302,0.412963,0.020313,0.037037,0.475521,0.397222,0.478125,0.425926
20230609a144.txt,0.0,0.578385,0.668056,0.021354,0.052778,0.571875,0.646296,0.584896,0.688889
20230609a144.txt,0.0,0.408073,0.67037,0.021354,0.062963,0.405208,0.642593,0.411458,0.697222
20230609a144.txt,0.0,0.376563,0.856481,0.025,0.057407,0.380729,0.833333,0.367188,0.878704
20230609a150.txt,0.0,0.180208,0.372685,0.027083,0.036111,0.168229,0.381481,0.191146,0.358333
20230609a150.txt,0.0,0.382292,0.409722,0.026042,0.034259,0.382812,0.394444,0.380729,0.423148
20230609a150.txt,0.0,0.391146,0.433796,0.026042,0.062037,0.395833,0.408333,0.385417,0.460185
20230609a150.txt,0.0,0.338542,0.762963,0.016667,0.059259,0.338021,0.737037,0.338542,0.787963
20230609a150.txt,0.0,0.49401,0.876852,0.016146,0.07037,0.494792,0.847222,0.49375,0.908333
20230609a150.txt,0.0,0.613802,0.826852,0.027604,0.042593,0.624479,0.812037,0.603646,0.844444
